event_idx,n,a_n,prev_event_n,gap,prev_gap,branch_type,sigma_hat,x,y,z,n_wedge_area,n_wedge_signed,n_wedge_l1,n_cross0,n_cross1,n_cross2,a_n_wedge_area,a_n_wedge_signed,a_n_wedge_l1,a_n_cross0,a_n_cross1,a_n_cross2,gap_wedge_area,gap_wedge_signed,gap_wedge_l1,gap_cross0,gap_cross1,gap_cross2,demand_coord,n_signed_roll16,n_area_roll16,a_n_signed_roll16,a_n_area_roll16,gap_signed_roll16,gap_area_roll16
8667,6272226,17806093,6257782,14444,25,1,1,9.578104,6.359159,1.0,16.0,-16.0,16.0,0.0,0.0,-16.0,2.449489742783178,-2.0,4.0,-1.0,-2.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,,,,,,
8668,6272227,24078320,6272226,1,14444,1,1,0.693147,-9.578034,1.0,16.0,-16.0,16.0,0.0,0.0,-16.0,6.0,-2.0,10.0,4.0,-2.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,,,,,,
8669,6277043,11526642,6272227,4816,1,0,-1,8.479907,8.479699,-1.0,1.7320508075688772,-1.0,3.0,1.0,-1.0,-1.0,6.928203230275509,-4.0,12.0,-4.0,4.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,,,,,,
8670,6277044,5249598,6277043,1,4816,0,-1,0.693147,-8.479699,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-8.25,8.786566092485494,-2.25,4.094423243264671,-1.0,1.0
8671,6281314,17810091,6277044,4270,1,1,1,8.359603,8.359369,1.0,4.58257569495584,-1.0,7.0,-4.0,2.0,1.0,9.0,-9.0,9.0,-9.0,0.0,0.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1,-6.8,7.945768012979562,-3.6,5.0755385946117375,-0.8,1.082842712474619
8672,6281315,24091406,6281314,1,4270,1,1,0.693147,-8.359369,1.0,4.58257569495584,-1.0,7.0,-4.0,2.0,1.0,1.7320508075688772,1.0,3.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-5.833333333333333,7.385235959975609,-2.8333333333333335,4.518290630104594,-0.8333333333333334,1.0690355937288492
8673,6282739,11526640,6281315,1424,1,0,-1,7.261927,7.261225,-1.0,4.0,-4.0,4.0,0.0,0.0,-4.0,3.7416573867739413,-2.0,6.0,-3.0,2.0,-1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1,-5.571428571428571,6.901630822836236,-2.7142857142857144,4.407343023914501,-0.8571428571428571,1.1637520528488532
8674,6282740,5243900,6282739,1,1424,0,-1,0.693147,-7.261225,-1.0,4.47213595499958,-2.0,6.0,2.0,0.0,-4.0,3.0,-1.0,5.0,2.0,-2.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-5.125,6.597943964356654,-2.5,4.231425145925188,-0.875,1.1432830462427466
8675,6286326,17814759,6282740,3586,1,1,1,8.185071,8.184793,1.0,4.0,-4.0,4.0,0.0,0.0,-4.0,4.0,-4.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-5.0,6.3092835238725815,-2.6666666666666665,4.20571124082239,-0.7777777777777778,1.0162515966602192
8676,6286327,24101086,6286326,1,3586,1,1,0.693147,-8.184793,1.0,4.0,-4.0,4.0,0.0,0.0,-4.0,3.0,-1.0,5.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-4.9,6.078355171485323,-2.5,4.085140116740151,-0.8,1.0146264369941973
8677,6287523,11526638,6286327,1196,1,0,-1,7.087574,7.086738,-1.0,4.0,-4.0,4.0,0.0,0.0,-4.0,4.58257569495584,-1.0,7.0,-4.0,2.0,1.0,4.0,-4.0,4.0,-4.0,0.0,0.0,1,-4.818181818181818,5.8894137922593846,-2.3636363636363638,4.130361532941577,-1.0909090909090908,1.2860240336310884
8678,6287524,5239114,6287523,1,1196,0,-1,0.693147,-7.086738,-1.0,4.0,-4.0,4.0,0.0,0.0,-4.0,4.58257569495584,-1.0,7.0,-4.0,2.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-4.75,5.731962642904436,-2.25,4.1680460464427656,-1.0833333333333333,1.2621886974951644
8679,6293532,17823174,6287524,6008,1,1,1,8.701014,8.700847,1.0,4.0,-4.0,4.0,0.0,0.0,-4.0,4.58257569495584,-1.0,7.0,-4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-4.6923076923076925,5.598734747296403,-2.1538461538461537,4.199932942482233,-1.0,1.1650972592263056
