start_event_idx,end_event_idx,start_n,end_n,depth_events_inclusive,censored
1,24,2,133,24,False
2,24,3,133,23,False
3,24,6,133,22,False
4,24,7,133,21,False
5,24,18,133,20,False
6,24,19,133,19,False
7,24,23,133,18,False
8,24,33,133,17,False
9,24,34,133,16,False
10,24,38,133,15,False
11,24,66,133,14,False
12,24,67,133,13,False
13,24,77,133,12,False
14,24,101,133,11,False
15,24,102,133,10,False
16,24,110,133,9,False
17,24,111,133,8,False
18,24,113,133,7,False
19,24,114,133,6,False
20,24,115,133,5,False
21,24,119,133,4,False
22,24,120,133,3,False
23,25,129,134,3,False
24,26,133,136,3,False
25,30,134,189,6,False
26,30,136,189,5,False
27,30,172,189,4,False
28,30,173,189,3,False
29,31,185,190,3,False
30,32,189,192,3,False
31,60,190,734,30,False
32,60,192,734,29,False
33,60,193,734,28,False
34,60,196,734,27,False
35,60,224,734,26,False
36,60,225,734,25,False
37,60,235,734,24,False
38,60,287,734,23,False
39,60,288,734,22,False
40,60,306,734,21,False
41,60,307,734,20,False
42,60,339,734,19,False
43,60,340,734,18,False
44,60,352,734,17,False
45,60,367,734,16,False
46,60,405,734,15,False
47,60,406,734,14,False
48,60,420,734,13,False
49,60,452,734,12,False
50,60,453,734,11,False
51,60,465,734,10,False
52,60,466,734,9,False
53,60,510,734,8,False
54,60,511,734,7,False
55,60,527,734,6,False
56,60,528,734,5,False
57,60,676,734,4,False
58,60,677,734,3,False
59,62,727,757,4,False
60,62,734,757,3,False
61,64,756,768,4,False
62,64,757,768,3,False
63,66,765,773,4,False
64,66,768,773,3,False
65,79,772,1304,15,False
66,79,773,1304,14,False
67,79,775,1304,13,False
68,79,845,1304,12,False
69,79,846,1304,11,False
70,79,870,1304,10,False
71,79,871,1304,9,False
72,79,985,1304,8,False
73,79,986,1304,7,False
74,79,1028,1304,6,False
75,79,1029,1304,5,False
76,79,1229,1304,4,False
77,79,1230,1304,3,False
78,80,1298,1305,3,False
79,81,1304,1307,3,False
80,84,1305,1347,5,False
81,85,1307,1348,5,False
82,85,1320,1348,4,False
83,85,1345,1348,3,False
84,87,1347,1361,4,False
85,100,1348,2065,16,False
86,100,1349,2065,15,False
87,100,1361,2065,14,False
88,100,1362,2065,13,False
89,100,1363,2065,12,False
90,100,1411,2065,11,False
91,100,1412,2065,10,False
92,100,1428,2065,9,False
93,100,1714,2065,8,False
94,100,1715,2065,7,False
95,100,1811,2065,6,False
96,100,1812,2065,5,False
97,100,1976,2065,4,False
98,100,1977,2065,3,False
99,101,2033,2066,3,False
100,102,2065,2078,3,False
101,103,2066,2085,3,False
102,105,2078,2090,4,False
103,106,2085,2092,4,False
104,106,2089,2092,3,False
105,116,2090,2416,12,False
106,116,2092,2416,11,False
107,116,2093,2416,10,False
108,116,2094,2416,9,False
109,116,2144,2416,8,False
110,116,2145,2416,7,False
111,116,2163,2416,6,False
112,116,2188,2416,5,False
113,116,2338,2416,4,False
114,116,2339,2416,3,False
115,118,2389,2421,4,False
116,120,2416,2436,5,False
117,120,2420,2436,4,False
118,127,2421,2624,10,False
119,127,2422,2624,9,False
120,127,2436,2624,8,False
121,127,2437,2624,7,False
122,127,2448,2624,6,False
123,127,2494,2624,5,False
124,127,2495,2624,4,False
125,128,2511,2625,4,False
126,128,2588,2625,3,False
127,129,2624,2637,3,False
128,131,2625,2654,4,False
129,132,2637,2655,4,False
130,132,2652,2655,3,False
131,133,2654,2657,3,False
132,155,2655,4598,24,False
133,155,2657,4598,23,False
134,155,2869,4598,22,False
135,155,2870,4598,21,False
136,155,2948,4598,20,False
137,155,2949,4598,19,False
138,155,3085,4598,18,False
139,155,3086,4598,17,False
140,155,3132,4598,16,False
141,155,3133,4598,15,False
142,155,3869,4598,14,False
143,155,3870,4598,13,False
144,155,4116,4598,12,False
145,155,4117,4598,11,False
146,155,4137,4598,10,False
147,155,4138,4598,9,False
148,155,4139,4598,8,False
149,155,4161,4598,7,False
150,155,4184,4598,6,False
151,155,4241,4598,5,False
152,155,4495,4598,4,False
153,155,4496,4598,3,False
154,156,4582,4599,3,False
155,157,4598,4605,3,False
156,160,4599,4647,5,False
157,161,4605,4648,5,False
158,161,4614,4648,4,False
159,161,4637,4648,3,False
160,163,4647,4667,4,False
161,166,4648,4793,6,False
162,166,4649,4793,5,False
163,166,4667,4793,4,False
164,166,4668,4793,3,False
165,167,4747,4794,3,False
166,168,4793,4810,3,False
167,169,4794,4815,3,False
168,171,4810,4828,4,False
169,171,4815,4828,3,False
170,192,4827,7292,23,False
171,192,4828,7292,22,False
172,192,4832,7292,21,False
173,192,5026,7292,20,False
174,192,5027,7292,19,False
175,192,5093,7292,18,False
176,192,5094,7292,17,False
177,192,5242,7292,16,False
178,192,5243,7292,15,False
179,192,5293,7292,14,False
180,192,5294,7292,13,False
181,192,5898,7292,12,False
182,192,5899,7292,11,False
183,192,6101,7292,10,False
184,192,6102,7292,9,False
185,192,6530,7292,8,False
186,192,6531,7292,7,False
187,192,6675,7292,6,False
188,192,6676,7292,5,False
189,192,7074,7292,4,False
190,192,7075,7292,3,False
191,194,7215,7567,4,False
192,194,7292,7567,3,False
193,196,7566,7675,4,False
194,196,7567,7675,3,False
195,197,7659,7676,3,False
196,198,7675,7682,3,False
197,204,7676,8202,8,False
198,204,7682,8202,7,False
199,204,7705,8202,6,False
200,204,7882,8202,5,False
201,204,8104,8202,4,False
202,204,8105,8202,3,False
203,206,8179,8219,4,False
204,208,8202,8244,5,False
205,208,8218,8244,4,False
206,223,8219,8910,18,False
207,223,8220,8910,17,False
208,223,8244,8910,16,False
209,223,8245,8910,15,False
210,223,8304,8910,14,False
211,223,8404,8910,13,False
212,223,8405,8910,12,False
213,223,8439,8910,11,False
214,223,8440,8910,10,False
215,223,8614,8910,9,False
216,223,8615,8910,8,False
217,223,8673,8910,7,False
218,223,8741,8910,6,False
219,223,8742,8910,5,False
220,224,8766,8911,5,False
221,224,8817,8911,4,False
222,224,8880,8911,3,False
223,225,8910,8921,3,False
224,227,8911,9016,4,False
225,228,8921,9017,4,False
226,228,9014,9017,3,False
227,229,9016,9019,3,False
228,231,9017,9080,4,False
229,232,9019,9081,4,False
230,232,9070,9081,3,False
231,233,9080,9085,3,False
232,245,9081,10647,14,False
233,245,9085,10647,13,False
234,245,9557,10647,12,False
235,245,9558,10647,11,False
236,245,9716,10647,10,False
237,245,9717,10647,9,False
238,245,10121,10647,8,False
239,245,10122,10647,7,False
240,245,10258,10647,6,False
241,245,10259,10647,5,False
242,245,10543,10647,4,False
243,245,10544,10647,3,False
244,247,10640,10898,4,False
245,247,10647,10898,3,False
246,267,10897,13555,22,False
247,267,10898,13555,21,False
248,267,10982,13555,20,False
249,267,10983,13555,19,False
250,267,11541,13555,18,False
251,267,11542,13555,17,False
252,267,11746,13555,16,False
253,267,11747,13555,15,False
254,267,11981,13555,14,False
255,267,11982,13555,13,False
256,267,12092,13555,12,False
257,267,12093,13555,11,False
258,267,13143,13555,10,False
259,267,13144,13555,9,False
260,267,13494,13555,8,False
261,267,13495,13555,7,False
262,267,13509,13555,6,False
