start_event_idx,end_event_idx,start_n,end_n,length_events,max_gap,sum_gap,mean_abs_y,branch_types
9085,9089,8022601,8028560,5,2653,6243,2.9972054,"{0: np.int64(4), 1: np.int64(1)}"
3271,3275,969581,970690,5,541,1111,2.3787382,"{0: np.int64(4), 1: np.int64(1)}"
487,491,30059,30174,5,85,121,2.0738353999999997,"{0: np.int64(4), 1: np.int64(1)}"
9071,9075,8010133,8019540,5,4720,9471,2.53481,"{0: np.int64(4), 1: np.int64(1)}"
5037,5041,2448503,2449470,5,530,969,1.4940377999999999,"{0: np.int64(4), 1: np.int64(1)}"
8114,8118,5601846,5606739,5,2325,5009,3.2128906,"{0: np.int64(4), 1: np.int64(1)}"
5437,5441,2827153,2839118,5,11401,11967,3.4593238,"{0: np.int64(4), 1: np.int64(1)}"
8831,8835,6657933,6723850,5,56934,66127,2.4486584000000002,"{0: np.int64(4), 1: np.int64(1)}"
1769,1773,297819,298410,5,392,617,1.8007914,"{0: np.int64(4), 1: np.int64(1)}"
7928,7932,5482022,5484887,5,2173,3021,1.9480214,"{0: np.int64(4), 1: np.int64(1)}"
2472,2476,555156,555467,5,189,315,1.3398607999999999,"{0: np.int64(4), 1: np.int64(1)}"
2335,2338,532033,533675,4,970,1696,2.4313415000000003,"{0: np.int64(3), 1: np.int64(1)}"
6941,6944,4907283,4912053,4,4507,4954,3.8002849999999997,"{0: np.int64(3), 1: np.int64(1)}"
4129,4132,1538949,1551133,4,7398,12206,2.31017225,"{0: np.int64(3), 1: np.int64(1)}"
1099,1102,136281,136519,4,205,282,2.6633195,"{0: np.int64(3), 1: np.int64(1)}"
7859,7862,5448785,5454609,4,5530,5826,2.23630025,"{0: np.int64(3), 1: np.int64(1)}"
9498,9501,8378338,8378776,4,277,440,1.81476275,"{0: np.int64(3), 1: np.int64(1)}"
3637,3640,1109079,1110813,4,1548,2068,3.54280275,"{0: np.int64(3), 1: np.int64(1)}"
157,160,4605,4647,4,23,48,0.9921007500000001,"{0: np.int64(3), 1: np.int64(1)}"
1172,1175,139570,140114,4,279,546,1.469482,"{0: np.int64(3), 1: np.int64(1)}"
220,223,8766,8910,4,63,168,1.221268,"{0: np.int64(3), 1: np.int64(1)}"
4864,4867,2370428,2376160,4,5511,8312,5.3672005,"{0: np.int64(3), 1: np.int64(1)}"
9788,9791,9162370,9165322,4,4890,7842,3.5171105000000003,"{0: np.int64(3), 1: np.int64(1)}"
1566,1569,253938,254186,4,160,408,2.1910132499999997,"{0: np.int64(3), 1: np.int64(1)}"
10250,10253,9651402,9653894,4,1979,3648,3.24810875,"{0: np.int64(3), 1: np.int64(1)}"
802,805,77522,77854,4,276,608,3.266222,"{0: np.int64(3), 1: np.int64(1)}"
